Date,Total Volume
2020-01-01,366610.6736500189
2020-01-02,688517.7370170467
2020-01-03,320125.01469324756
2020-01-04,396768.44474176096
2020-01-05,510047.56152832584
2020-01-06,764920.0337576213
2020-01-07,949272.3038921771
2020-01-08,623968.402835839
2020-01-09,754765.338228842
2020-01-10,556219.4479823917
2020-01-11,355955.79617601616
2020-01-12,307179.05006849277
2020-01-13,938071.9602683174
2020-01-14,727491.7251027253
2020-01-15,494846.5310733996
2020-01-16,610350.8792658733
2020-01-17,380925.9470468877
2020-01-18,655338.0128626466
2020-01-19,385671.1807230584
2020-01-20,334816.26865202084
2020-01-21,316274.84393637144
2020-01-22,467288.960935689
2020-01-23,402786.732371165
2020-01-24,269908.9378971581
2020-01-25,301808.39916964225
2020-01-26,471388.9484459447
2020-01-27,628269.7676653323
2020-01-28,486531.6545606094
2020-01-29,500338.688413294
2020-01-30,452723.9823185506
2020-01-31,486023.80675423186
2020-02-01,430639.63777738233
2020-02-02,496062.9972295465
2020-02-03,452917.541471896
2020-02-04,588898.8088804722
2020-02-05,637922.4429003584
2020-02-06,498251.2883401109
2020-02-07,491099.7460991084
2020-02-08,473990.49499865307
2020-02-09,667166.3525425359
2020-02-10,683382.1799448514
2020-02-11,647478.8473400922
2020-02-12,805348.8189759885
2020-02-13,502455.6345118293
2020-02-14,561219.3150896435
2020-02-15,574017.7863318992
2020-02-16,729790.7321922454
2020-02-17,632812.3636325399
2020-02-18,686932.9089240525
2020-02-19,667933.1225037004
2020-02-20,524432.5749278893
2020-02-21,411083.7104883739
2020-02-22,620104.4698092786
2020-02-23,858032.4405619258
2020-02-24,753159.7271188578
2020-02-25,1011065.4106459359
2020-02-26,850123.5330531121
2020-02-27,935380.0081391315
2020-02-28,471687.3854984555
2020-02-29,763808.3150899406
2020-03-01,886776.7180638751
2020-03-02,726783.0080032048
2020-03-03,581131.3795866128
2020-03-04,893930.4966042618
2020-03-05,777213.9618789159
2020-03-06,591743.5743790477
2020-03-07,1014125.631292756
2020-03-08,1775239.944218455
2020-03-09,1310177.8450411079
2020-03-10,1120179.6679336906
2020-03-11,2878301.4234931376
2020-03-12,3789950.741437904
2020-03-13,1731205.413145248
2020-03-14,1306009.3966431145
2020-03-15,2341322.66652749
2020-03-16,1519265.740596391
2020-03-17,1393484.293190709
2020-03-18,1644880.6789504227
2020-03-19,2061316.2599377607
2020-03-20,1423179.519073725
2020-03-21,1259155.2548420955
