,cumsum_supply_usd
2013-03-31,1016859500.9511806
2013-04-01,1101405445.6301234
2013-04-02,1185855023.3992894
2013-04-03,1408056784.769805
2013-04-04,1451317695.8363175
2013-04-05,1532299781.6720624
2013-04-06,1563100747.4288776
2013-04-07,1704391894.7542863
2013-04-08,1995727273.1668286
2013-04-09,2384859914.3921146
2013-04-10,2129751525.1649084
2013-04-11,1762792433.9183078
2013-04-12,1005958355.9923937
2013-04-13,996332700.0914483
2013-04-14,1083584139.2356453
2013-04-15,962198317.574014
2013-04-16,733280418.3738359
2013-04-17,950922298.8218764
2013-04-18,1085873879.0555348
2013-04-19,1319355286.1332953
2013-04-20,1371949251.7534392
2013-04-21,1342326761.827136
2013-04-22,1365275779.1077104
2013-04-23,1490855003.8045588
2013-04-24,1687035672.1451664
2013-04-25,1585568540.3495152
2013-04-26,1466550960.5256782
2013-04-27,1454534569.8706625
2013-04-28,1476524459.8261309
2013-04-29,1579896099.2908819
2013-04-30,1553341516.7558768
2013-05-01,1347614915.41871
2013-05-02,1185435180.7741525
2013-05-03,1018323228.8590652
2013-05-04,1190691752.7745612
2013-05-05,1260415871.074278
2013-05-06,1302003220.967878
2013-05-07,1189649179.8550193
2013-05-08,1262161199.5614624
2013-05-09,1242549603.5046186
2013-05-10,1314598879.0239801
2013-05-11,1286109418.5621395
2013-05-12,1276458616.8423553
2013-05-13,1303856232.4605813
2013-05-14,1762591504.1456542
2013-05-15,1231659655.5301228
2013-05-16,1290324132.8363397
2013-05-17,1357104232.0976915
2013-05-18,1383879154.282034
2013-05-19,1360026615.2350543
2013-05-20,1365145372.9534614
2013-05-21,1365788102.7253084
2013-05-22,1375256890.523992
2013-05-23,1401493880.955901
2013-05-24,1453485701.981314
2013-05-25,1464682851.61936
2013-05-26,1500694291.2653425
2013-05-27,1448465673.107506
2013-05-28,1434077545.1545887
2013-05-29,1460786638.0208275
2013-05-30,1450287825.9010503
2013-05-31,1436809910.6866205
2013-06-01,1438649011.4384842
2013-06-02,1362780656.9401047
2013-06-03,1338152580.327447
2013-06-04,1359319281.6977363
2013-06-05,1365065040.8169258
2013-06-06,1344041813.2124047
2013-06-07,1259729797.1830022
2013-06-08,1221628242.697858
2013-06-09,1105944564.5249279
2013-06-10,1176248017.769453
2013-06-11,1206814129.7045028
2013-06-12,1231386112.7920954
2013-06-13,1183077881.6321378
2013-06-14,1133819116.3890224
2013-06-15,1134231764.0083675
2013-06-16,1127743935.854273
2013-06-17,1140307118.885923
2013-06-18,1208100907.0113623
2013-06-19,1219379090.5038111
2013-06-20,1259916953.9104931
2013-06-21,1258843576.8047147
2013-06-22,1227264798.528541
2013-06-23,1215396934.3485904
2013-06-24,1168418513.7904923
2013-06-25,1186313455.0393806
2013-06-26,1178952467.7634056
2013-06-27,1154200698.4779067
2013-06-28,1097056780.9802368
2013-06-29,1095411491.5821908
2013-06-30,1093897733.8030028
2013-07-01,1036945350.0761353
2013-07-02,1020409057.4027487
2013-07-03,947822191.688032
2013-07-04,886932933.994235
2013-07-05,808620533.0826185
2013-07-06,800199247.8635525
2013-07-07,808954446.1184292
2013-07-08,877083083.260897
2013-07-09,864078950.6606166
2013-07-10,942364383.697217
2013-07-11,996882441.590789
2013-07-12,1101646129.1936333
2013-07-13,1065285343.0662214
2013-07-14,1094420981.5448287
2013-07-15,1127655239.434616
2013-07-16,1116182931.0545537
2013-07-17,1122359772.799754
2013-07-18,1040483029.4285002
2013-07-19,1051062666.329467
2013-07-20,1046124007.2828107
2013-07-21,1023238339.3571146
2013-07-22,1044505194.9973947
2013-07-23,1083787640.3979857
2013-07-24,1079998212.271592
2013-07-25,1102914384.2878232
2013-07-26,1102473833.3926697
2013-07-27,1083492714.019747
2013-07-28,1130940110.5511394
2013-07-29,1157994812.633249
2013-07-30,1192915984.0929394
2013-07-31,1238934897.4332836
2013-08-01,1208054402.694734
2013-08-02,1208663579.5349665
2013-08-03,1194226518.2892618
2013-08-04,1204038673.116601
2013-08-05,1223059870.4508977
2013-08-06,1222838198.4715185
2013-08-07,1216528824.0400796
2013-08-08,1189188156.411484
2013-08-09,1190073826.7253003
2013-08-10,1187535962.8032672
2013-08-11,1201195711.5225508
2013-08-12,1212679825.3646166
2013-08-13,1238609429.120942
2013-08-14,1301105608.4633749
2013-08-15,1282139683.4294925
