date,2yr_yield,10yr_3mo_spread,10yr_inflation,usd_index,sp500
2011-04-01,0.8,3.39,2.52,87.7993,
2011-04-02,0.8,3.39,2.52,87.7993,
2011-04-03,0.8,3.39,2.52,87.7993,
2011-04-04,0.77,3.39,2.54,87.8406,
2011-04-05,0.84,3.43,2.56,87.7483,
2011-04-06,0.85,3.5,2.57,87.4913,
2011-04-07,0.81,3.54,2.59,87.532,
2011-04-08,0.83,3.55,2.64,87.1493,
2011-04-09,0.83,3.55,2.64,87.1493,
2011-04-10,0.83,3.55,2.64,87.1493,
2011-04-11,0.85,3.54,2.63,87.094,
2011-04-12,0.77,3.47,2.62,87.2943,
2011-04-13,0.75,3.43,2.61,87.2093,
2011-04-14,0.77,3.44,2.62,87.0802,
2011-04-15,0.71,3.36,2.61,87.005,
2011-04-16,0.71,3.36,2.61,87.005,
2011-04-17,0.71,3.36,2.61,87.005,
2011-04-18,0.69,3.33,2.6,87.5081,
2011-04-19,0.68,3.33,2.63,87.0791,
2011-04-20,0.69,3.37,2.61,86.5642,
2011-04-21,0.68,3.36,2.59,86.2256,
2011-04-22,0.68,3.36,2.59,86.3742,
2011-04-23,0.68,3.36,2.59,86.3742,
2011-04-24,0.68,3.36,2.59,86.3742,
2011-04-25,0.67,3.32,2.6,86.4026,
2011-04-26,0.65,3.27,2.58,86.2576,
2011-04-27,0.65,3.33,2.58,86.2519,
2011-04-28,0.62,3.3,2.56,85.8419,
2011-04-29,0.61,3.28,2.57,85.5999,
2011-04-30,0.61,3.28,2.57,85.5999,
2011-05-01,0.61,3.28,2.57,85.5999,
2011-05-02,0.61,3.26,2.56,85.5199,
2011-05-03,0.61,3.25,2.55,85.6352,
2011-05-04,0.6,3.22,2.55,85.8917,
2011-05-05,0.58,3.16,2.48,86.508,
2011-05-06,0.57,3.17,2.48,86.4575,
2011-05-07,0.57,3.17,2.48,86.4575,
2011-05-08,0.57,3.17,2.48,86.4575,
2011-05-09,0.57,3.14,2.48,86.8346,
2011-05-10,0.59,3.2,2.49,86.6518,
2011-05-11,0.56,3.16,2.43,86.7195,
2011-05-12,0.57,3.2,2.43,87.0767,
2011-05-13,0.57,3.15,2.39,87.4176,
2011-05-14,0.57,3.15,2.39,87.4176,
2011-05-15,0.57,3.15,2.39,87.4176,
2011-05-16,0.54,3.11,2.34,87.3311,
2011-05-17,0.55,3.08,2.3,87.6307,
2011-05-18,0.58,3.13,2.36,87.295,
2011-05-19,0.55,3.12,2.26,87.2638,
2011-05-20,0.55,3.1,2.3,87.3044,
2011-05-21,0.55,3.1,2.3,87.3044,
2011-05-22,0.55,3.1,2.3,87.3044,
2011-05-23,0.55,3.07,2.29,87.8941,
2011-05-24,0.56,3.06,2.33,87.662,
2011-05-25,0.54,3.07,2.33,87.6136,
2011-05-26,0.48,3.02,2.31,87.5588,
2011-05-27,0.48,3.02,2.28,86.9525,
2011-05-28,0.48,3.02,2.28,86.9525,
2011-05-29,0.48,3.02,2.28,86.9525,
2011-05-30,0.48,3.02,2.28,86.9525,
2011-05-31,0.45,2.99,2.25,86.656,
2011-06-01,0.44,2.91,2.22,86.5964,
2011-06-02,0.45,3.0,2.26,86.8435,
2011-06-03,0.42,2.95,2.24,86.4234,
2011-06-04,0.42,2.95,2.24,86.4234,
2011-06-05,0.42,2.95,2.24,86.4234,
2011-06-06,0.43,2.96,2.25,86.4669,
2011-06-07,0.39,2.96,2.25,86.3627,
2011-06-08,0.39,2.94,2.22,86.5714,
2011-06-09,0.43,2.96,2.21,86.5913,
2011-06-10,0.41,2.94,2.2,87.042,
2011-06-11,0.41,2.94,2.2,87.042,
2011-06-12,0.41,2.94,2.2,87.042,
2011-06-13,0.4,2.95,2.2,87.0579,
2011-06-14,0.45,3.06,2.28,86.6771,
2011-06-15,0.38,2.93,2.24,87.3342,
2011-06-16,0.38,2.88,2.2,87.6917,
2011-06-17,0.38,2.9,2.19,87.2179,
2011-06-18,0.38,2.9,2.19,87.2179,
2011-06-19,0.38,2.9,2.19,87.2179,
2011-06-20,0.38,2.94,2.18,87.1908,
2011-06-21,0.4,2.96,2.21,86.857,
2011-06-22,0.39,2.99,2.19,86.8067,
2011-06-23,0.35,2.92,2.22,87.455,
2011-06-24,0.35,2.86,2.24,87.5014,
2011-06-25,0.35,2.86,2.24,87.5014,
2011-06-26,0.35,2.86,2.24,87.5014,
2011-06-27,0.41,2.93,2.28,87.5225,
2011-06-28,0.48,3.02,2.32,87.2178,
2011-06-29,0.47,3.12,2.4,86.8014,
2011-06-30,0.45,3.15,2.43,86.4786,
2011-07-01,0.5,3.2,2.45,86.3613,
2011-07-02,0.5,3.2,2.45,86.3613,
2011-07-03,0.5,3.2,2.45,86.3613,
2011-07-04,0.5,3.2,2.45,86.3613,
2011-07-05,0.44,3.14,2.39,86.4253,
2011-07-06,0.43,3.11,2.38,86.6825,
2011-07-07,0.49,3.14,2.42,86.4825,
2011-07-08,0.4,3.0,2.34,86.615,
2011-07-09,0.4,3.0,2.34,86.615,
2011-07-10,0.4,3.0,2.34,86.615,
2011-07-11,0.37,2.91,2.31,87.1013,
2011-07-12,0.37,2.89,2.32,87.1701,
2011-07-13,0.37,2.91,2.33,86.5697,
2011-07-14,0.38,2.97,2.3,86.5234,
2011-07-15,0.37,2.92,2.33,86.5169,
2011-07-16,0.37,2.92,2.33,86.5169,
2011-07-17,0.37,2.92,2.33,86.5169,
2011-07-18,0.37,2.92,2.36,86.9549,
2011-07-19,0.39,2.88,2.37,86.4386,
2011-07-20,0.4,2.94,2.34,86.2794,
2011-07-21,0.4,2.98,2.35,85.8378,
2011-07-22,0.4,2.94,2.38,85.8623,
2011-07-23,0.4,2.94,2.38,85.8623,
2011-07-24,0.4,2.94,2.38,85.8623,
2011-07-25,0.42,2.98,2.45,85.8006,
2011-07-26,0.41,2.92,2.42,85.4692,
2011-07-27,0.44,2.93,2.45,85.7126,
2011-07-28,0.42,2.91,2.46,85.8245,
2011-07-29,0.36,2.72,2.44,85.7282,
2011-07-30,0.36,2.72,2.44,85.7282,
2011-07-31,0.36,2.72,2.44,85.7282,
2011-08-01,0.38,2.67,2.44,86.0391,
2011-08-02,0.33,2.6,2.37,86.0533,
2011-08-03,0.33,2.62,2.28,86.0706,
2011-08-04,0.27,2.45,2.23,86.9299,
2011-08-05,0.28,2.57,2.26,87.1084,
2011-08-06,0.28,2.57,2.26,87.1084,
2011-08-07,0.28,2.57,2.26,87.1084,
2011-08-08,0.27,2.35,2.2,87.1873,
2011-08-09,0.19,2.17,2.2,87.3919,
2011-08-10,0.19,2.15,2.3,87.3792,
2011-08-11,0.19,2.31,2.28,87.3215,
2011-08-12,0.2,2.22,2.26,87.177,
2011-08-13,0.2,2.22,2.26,87.177,
2011-08-14,0.2,2.22,2.26,87.177,
2011-08-15,0.19,2.27,2.23,86.7515,
2011-08-16,0.2,2.2,2.18,86.7115,
2011-08-17,0.19,2.16,2.16,86.5518,
2011-08-18,0.2,2.07,1.99,87.1271,
2011-08-19,0.2,2.05,2.05,86.8286,
2011-08-20,0.2,2.05,2.05,86.8286,
2011-08-21,0.2,2.05,2.05,86.8286,
2011-08-22,0.22,2.09,2.07,87.0753,
2011-08-23,0.22,2.14,2.02,86.9001,
2011-08-24,0.23,2.27,2.04,87.1316,
2011-08-25,0.22,2.22,2.1,87.2306,
2011-08-26,0.2,2.18,2.04,87.0751,
2011-08-27,0.2,2.18,2.04,87.0751,
2011-08-28,0.2,2.18,2.04,87.0751,
2011-08-29,0.2,2.26,2.06,86.8433,
2011-08-30,0.2,2.18,2.05,87.001,
2011-08-31,0.2,2.21,2.05,86.7739,
2011-09-01,0.19,2.13,2.08,86.8512,
2011-09-02,0.2,2.0,2.02,87.1797,
2011-09-03,0.2,2.0,2.02,87.1797,
2011-09-04,0.2,2.0,2.02,87.1797,
2011-09-05,0.2,2.0,2.02,87.1797,
2011-09-06,0.21,1.96,1.93,88.1645,
2011-09-07,0.21,2.03,1.96,87.9699,
2011-09-08,0.19,1.98,2.0,88.1162,
2011-09-09,0.17,1.92,1.96,88.9514,
2011-09-10,0.17,1.92,1.96,88.9514,
2011-09-11,0.17,1.92,1.96,88.9514,
2011-09-12,0.21,1.93,1.94,89.2192,
2011-09-13,0.21,1.99,1.93,89.2653,
2011-09-14,0.19,2.02,1.91,89.419,
