Date,total_out_BTC_usd
2013-03-31,850609.2073155291
2013-04-01,734847.6768155048
2013-04-02,1545440.5174238025
2013-04-03,1737992.8439103817
2013-04-04,1967457.6811447795
2013-04-05,1820698.4634780823
2013-04-06,1165189.738290014
2013-04-07,1029989.6346423662
2013-04-08,1789823.4508724723
2013-04-09,2561144.2670758977
2013-04-10,2917943.4419321525
2013-04-11,2401388.0150986705
2013-04-12,941801.3315848995
2013-04-13,707242.9256847316
2013-04-14,530407.3171290472
2013-04-15,558557.4531983496
2013-04-16,664595.952847822
2013-04-17,868473.5236221681
2013-04-18,3929008.205090529
2013-04-19,1634120.7628159896
2013-04-20,885239.851852176
2013-04-21,678538.7231251105
2013-04-22,1331617.2932124503
2013-04-23,1267947.1386226492
2013-04-24,2037252.2757799046
2013-04-25,1357736.4537138043
2013-04-26,913602.1107823143
2013-04-27,722079.6440654846
2013-04-28,436259.2541949647
2013-04-29,1547824.96870656
2013-04-30,943335.960323035
2013-05-01,1093091.743514946
2013-05-02,723412.9651822334
2013-05-03,542004.5013952123
2013-05-04,340403.4606595101
2013-05-05,438916.7680582483
2013-05-06,605956.7405801393
2013-05-07,622073.7760324203
2013-05-08,572431.7936357318
2013-05-09,473656.1895533428
2013-05-10,628587.4646040325
2013-05-11,428554.1059225186
2013-05-12,383815.0391785355
2013-05-13,756793.5779867062
2013-05-14,805496.3484243627
2013-05-15,589849.5014730776
2013-05-16,565593.2615666914
2013-05-17,644844.6760008876
2013-05-18,622709.3965190727
2013-05-19,330763.60765666876
2013-05-20,510923.1334533236
2013-05-21,546139.7266444656
2013-05-22,582283.4661301755
2013-05-23,513264.40138699877
2013-05-24,584294.3516132612
2013-05-25,583737.8783627608
2013-05-26,320540.7261687448
2013-05-27,490026.87694662414
2013-05-28,571905.247216087
2013-05-29,615959.1461140659
2013-05-30,455115.4814986393
2013-05-31,496913.8919571282
2013-06-01,292807.25973543606
2013-06-02,263528.8283006557
2013-06-03,436676.5296820481
2013-06-04,375874.4687323154
2013-06-05,449786.183115602
2013-06-06,500538.70964152686
2013-06-07,471792.2103555375
2013-06-08,239374.683591268
2013-06-09,417247.0537698581
2013-06-10,294517.0784919042
2013-06-11,357635.155438766
2013-06-12,302536.761438313
2013-06-13,342785.0531428759
2013-06-14,403516.5854629626
2013-06-15,241378.0838923253
2013-06-16,281208.4523763484
2013-06-17,402619.6700695324
2013-06-18,491450.44713017874
2013-06-19,462367.6941604717
2013-06-20,527448.4141180705
2013-06-21,472420.2651617152
2013-06-22,268210.6816008301
2013-06-23,222234.98929088697
2013-06-24,419863.3400938434
2013-06-25,478714.14217731607
2013-06-26,375184.82012734027
2013-06-27,344572.6401790411
2013-06-28,377941.78841823165
2013-06-29,306140.58959400584
2013-06-30,261154.12121789518
2013-07-01,505807.0596838475
2013-07-02,432359.67434564955
2013-07-03,370842.807059485
2013-07-04,404574.19898386614
2013-07-05,413214.36039848183
2013-07-06,263705.2580230924
2013-07-07,246229.18741534365
2013-07-08,336320.0404715834
2013-07-09,476366.5674686102
2013-07-10,460531.1191073051
2013-07-11,535207.0437376188
2013-07-12,641252.4325767087
2013-07-13,522024.54110801953
2013-07-14,324890.9198561521
2013-07-15,423610.7874998116
2013-07-16,567395.0993170495
2013-07-17,580575.794525392
2013-07-18,569213.4341003686
2013-07-19,440854.3144719232
2013-07-20,244038.141390397
2013-07-21,223391.21547325156
2013-07-22,500580.5420564194
2013-07-23,680159.4903835448
2013-07-24,538625.1145692505
2013-07-25,535710.8057173078
2013-07-26,462683.49663542525
2013-07-27,241155.56174268853
2013-07-28,363473.8704688436
2013-07-29,425463.25129415136
