,vol_bitfinex_by_supply_btc
2013-03-31,5.137780891148723e-06
2013-04-01,7.605307846755506e-06
2013-04-02,1.0959387796769614e-05
2013-04-03,4.958371268088736e-06
2013-04-04,3.606985719438516e-06
2013-04-05,1.311185088565122e-06
2013-04-06,2.383127032014609e-06
2013-04-07,6.3927946665052746e-06
2013-04-08,3.043187928400029e-06
2013-04-09,6.738610786858919e-06
2013-04-10,7.942079681699198e-06
2013-04-11,2.1950375188706287e-05
2013-04-12,2.3725313183620924e-05
2013-04-13,1.649772175799444e-05
2013-04-14,1.5128616200993549e-05
2013-04-15,2.7117635473929152e-05
2013-04-16,2.7297152474246685e-05
2013-04-17,8.793678164293812e-06
2013-04-18,1.923174643785855e-05
2013-04-19,4.928709760983265e-06
2013-04-20,8.41070190847247e-06
2013-04-21,5.254605150745207e-06
2013-04-22,8.471971852543583e-06
2013-04-23,1.7362268757252843e-05
2013-04-24,1.2797430051018059e-05
2013-04-25,8.375027082791923e-06
2013-04-26,5.300870908736409e-06
2013-04-27,4.965224087814019e-06
2013-04-28,6.428401523756487e-06
2013-04-29,6.909602483277087e-06
2013-04-30,1.536626835777246e-05
2013-05-01,2.2196060383092612e-05
2013-05-02,2.7459157663983153e-05
2013-05-03,1.5192170697965279e-05
2013-05-04,1.122354352190619e-05
2013-05-05,9.729352908534889e-06
2013-05-06,1.1561976346225484e-05
2013-05-07,7.400818988109591e-06
2013-05-08,3.162486589095648e-06
2013-05-09,6.1000895380768185e-06
2013-05-10,2.922516630823867e-06
2013-05-11,2.1349143145298684e-06
2013-05-12,2.0297141840909116e-06
2013-05-13,7.506301529325921e-06
2013-05-14,5.2900856820648335e-06
2013-05-15,3.894277091657726e-06
2013-05-16,3.95856872673702e-06
2013-05-17,1.5978496934374785e-06
2013-05-18,9.59225660233817e-07
2013-05-19,6.478239820826796e-07
2013-05-20,1.38999730740375e-06
2013-05-21,1.728196222701115e-06
2013-05-22,2.9264767607283508e-06
2013-05-23,5.683604347260569e-06
2013-05-24,1.8684776942339075e-06
2013-05-25,1.9685013263740203e-06
2013-05-26,2.3557865087826247e-06
2013-05-27,1.7839685376086951e-06
2013-05-28,2.4814673199114867e-06
2013-05-29,3.2373671376658465e-06
2013-05-30,1.5634680689202045e-06
2013-05-31,5.673065958533617e-07
2013-06-01,8.26676383001743e-06
2013-06-02,3.4857785969798892e-06
2013-06-03,3.8826153222890595e-06
2013-06-04,1.0563171582077839e-06
2013-06-05,9.235511405123415e-07
2013-06-06,7.171063961420697e-06
2013-06-07,1.5425707339505659e-06
2013-06-08,1.2908896064971096e-05
2013-06-09,8.551031280860216e-06
2013-06-10,2.9071320082090276e-06
2013-06-11,3.858981840078651e-06
2013-06-12,4.721360246354832e-06
2013-06-13,4.476187971914609e-06
2013-06-14,2.1148425306557284e-06
2013-06-15,1.0511168963887395e-06
2013-06-16,1.1407201288965614e-06
2013-06-17,5.322341742169855e-06
2013-06-18,2.3428064194089534e-06
2013-06-19,4.576227767826038e-06
2013-06-20,4.432192120383772e-06
2013-06-21,1.1045203850340616e-06
2013-06-22,6.488396845690846e-07
2013-06-23,2.3046355663150196e-06
2013-06-24,2.905777599454217e-06
2013-06-25,1.2358688974756073e-06
2013-06-26,9.207111929620528e-07
2013-06-27,6.579472956561714e-06
2013-06-28,1.6099315842903583e-06
2013-06-29,4.797673777010653e-07
2013-06-30,9.16109879241666e-06
2013-07-01,3.5993492614687576e-06
2013-07-02,8.514471123094752e-06
2013-07-03,7.471283595447638e-06
2013-07-04,1.5578360715377156e-05
2013-07-05,1.2894757035293684e-05
2013-07-06,5.503590326794396e-06
2013-07-07,1.0865590452522477e-05
2013-07-08,8.028116714816953e-06
2013-07-09,1.2006833878152072e-05
2013-07-10,7.970341681220948e-06
2013-07-11,1.5124693201105925e-05
2013-07-12,3.736433923534874e-06
2013-07-13,2.234473060990969e-06
2013-07-14,5.389568763405909e-06
2013-07-15,1.8554948865302707e-06
2013-07-16,1.8336846143635952e-06
2013-07-17,6.868327803098669e-06
2013-07-18,4.607651471598997e-06
2013-07-19,1.238672454932291e-06
2013-07-20,2.0203268420152315e-06
2013-07-21,1.3239124043584227e-06
2013-07-22,3.225369533885747e-06
2013-07-23,1.4932285689249191e-06
2013-07-24,3.0975688897054517e-06
2013-07-25,8.826921794103143e-07
2013-07-26,1.2946194216036688e-06
2013-07-27,3.1482146172307586e-06
2013-07-28,2.3983058891493354e-06
2013-07-29,3.0733106119510197e-06
2013-07-30,4.785517419703923e-06
2013-07-31,2.852719179839168e-06
2013-08-01,4.507208582150163e-06
2013-08-02,1.9912179898115063e-06
2013-08-03,8.467149110358962e-07
2013-08-04,2.445558239652025e-06
2013-08-05,2.0696365770032213e-06
2013-08-06,1.2889491634871498e-06
2013-08-07,3.864384211356031e-06
2013-08-08,4.8765002112528426e-06
2013-08-09,6.342479264307251e-07
2013-08-10,5.9216990069083e-07
2013-08-11,2.456587555936006e-06
2013-08-12,3.0049903942900424e-06
2013-08-13,6.323336671204399e-06
2013-08-14,1.3448130671625292e-06
2013-08-15,1.5176285986058122e-06
2013-08-16,1.2648918081804552e-06
2013-08-17,7.189608042482428e-07
2013-08-18,5.368910825817249e-06
2013-08-19,2.8343685094105322e-06
2013-08-20,6.769490591321206e-06
2013-08-21,2.838572441114662e-06
2013-08-22,3.7620077915230426e-06
2013-08-23,1.994480002502385e-06
2013-08-24,4.316368824608338e-06
2013-08-25,2.911611411281708e-06
2013-08-26,6.302026167302598e-06
2013-08-27,2.351021625858565e-06
2013-08-28,1.8080507181253313e-06
2013-08-29,6.433212459019616e-06
2013-08-30,7.86638588589633e-06
2013-08-31,1.2725215087480277e-06
2013-09-01,2.5186597068901396e-06
2013-09-02,2.155763227965099e-06
2013-09-03,5.580008484560475e-06
2013-09-04,4.550735208001507e-06
2013-09-05,3.691360840325183e-06
2013-09-06,1.9544089052544596e-06
2013-09-07,1.8390477871829141e-06
2013-09-08,5.6218988825252336e-06
2013-09-09,2.367458056527432e-06
2013-09-10,5.825647611131905e-06
2013-09-11,3.242585067075406e-06
2013-09-12,1.5423990514436527e-06
2013-09-13,2.1456868043926574e-06
2013-09-14,1.2136553363158828e-06
2013-09-15,1.0635663803082443e-06
2013-09-16,1.0953286973562154e-06
2013-09-17,2.4256602915546723e-06
2013-09-18,2.100234831982317e-06
2013-09-19,2.4028815734186734e-06
2013-09-20,6.503544398463545e-07
2013-09-21,6.87093526877765e-07
